sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.5,2.0,33,1.0,1.0,0.5,0.7973726627089565,0.9856739959426088,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00975179672241211
0.5,2.0,34,1.0,1.0,0.5,0.6253378860409108,0.9932079031508212,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009440183639526367
0.5,2.0,35,1.0,1.0,0.5,0.7535965391072316,0.9901557943190045,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009902238845825195
0.5,2.0,36,1.0,1.0,0.5,0.5564740214854427,0.9923270195794338,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00997614860534668
0.5,2.0,37,1.0,1.0,0.5,0.7905582239457164,0.9923441515721309,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009813547134399414
0.5,2.0,38,1.0,1.0,0.5,1.1115180546416077,0.9780672931737289,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.01003122329711914
0.5,2.0,39,1.0,1.0,0.5,0.9886922894714042,0.9873715844057879,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.010263442993164062
0.5,2.0,40,1.0,1.0,0.5,0.7954256389682633,0.9897422967314673,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009953498840332031
0.5,2.0,41,1.0,1.0,0.5,3.977633550466712,0.9515496094572641,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009675025939941406
0.5,2.0,42,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009976387023925781
0.5,2.0,43,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009931802749633789
0.5,2.0,44,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,0.010497331619262695
0.5,2.0,45,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009844064712524414
0.5,2.0,46,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009507417678833008
0.5,2.0,47,1.0,1.0,0.5,0.8957877983219191,0.9897326569096658,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.010008096694946289
0.5,2.0,48,1.0,1.0,0.5,0.7541947774534488,0.9891956963273277,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009369134902954102
0.5,2.0,49,1.0,1.0,0.5,0.8006897816409222,0.9865066802128551,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.01049661636352539
0.7,1.4285714285714286,0,1.0,1.0,0.5,1.0213856866730275,0.9876187340806416,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.01016092300415039
0.7,1.4285714285714286,1,1.0,1.0,0.5,1.4364089761889915,0.985682406489408,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.010198354721069336
0.7,1.4285714285714286,2,1.0,1.0,0.5,1.0437297389866742,0.9838910465354535,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.010110855102539062
0.7,1.4285714285714286,3,1.0,1.0,0.5,1.2626935650304536,0.9856087277354431,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009641647338867188
0.7,1.4285714285714286,4,1.0,1.0,0.5,1.389717334568076,0.9821802472967834,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009670019149780273
0.7,1.4285714285714286,5,1.0,1.0,0.5,1.3378843131780942,0.9860830312241188,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.01050710678100586
0.7,1.4285714285714286,6,1.0,1.0,0.5,1.1074848448864136,0.9856150843648004,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009424686431884766
0.7,1.4285714285714286,7,1.0,1.0,0.5,1.8309826387152428,0.9789459070741229,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009782075881958008
0.7,1.4285714285714286,8,1.0,1.0,0.5,2.760825042468719,0.9656295846635796,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009781122207641602
0.7,1.4285714285714286,9,1.0,1.0,0.5,1.8289875685285537,0.978406659644518,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.010052204132080078
