idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
4,3,1.0,0.1,1.0,2.939018467652227,0.985293917052631,0.20618556701030927,1.0,0.8850574712643678,0.11494252873563218,1.0,0.652,174,3,0.1392807960510254
4,4,1.0,0.1,1.0,2.2644601353750753,0.9908477445966669,0.25157232704402516,1.0,0.8561151079136691,0.14388489208633093,1.0,0.722,139,4,0.12522625923156738
5,0,1.0,0.1,2.0,5.873030229402605,0.9730916073325985,0.12658227848101267,1.0,0.9324324324324325,0.06756756756756757,1.0,0.40800000000000003,296,0,0.15180587768554688
5,1,1.0,0.1,2.0,8.054610758418969,0.9568701848938064,0.14035087719298245,1.0,0.9245283018867925,0.07547169811320754,1.0,0.47,265,1,0.14783596992492676
5,2,1.0,0.1,2.0,16.94404700609238,0.9209516785706757,0.10397553516819572,0.85,0.9446254071661238,0.05537459283387622,0.85,0.386,307,2,0.14406371116638184
5,3,1.0,0.1,2.0,6.325535669329977,0.9683486669908482,0.12903225806451613,1.0,0.9310344827586207,0.06896551724137931,1.0,0.42000000000000004,290,3,0.14247679710388184
5,4,1.0,0.1,2.0,5.899256462376883,0.9761570093507106,0.13559322033898305,1.0,0.9272727272727272,0.07272727272727272,1.0,0.44999999999999996,275,4,0.1472921371459961
6,0,1.0,0.5,0.5,1.059819784729771,0.9951442363123865,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,0.01972341537475586
6,1,1.0,0.5,0.5,1.145441365342982,0.9938665348600997,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,1,0.02055215835571289
6,2,1.0,0.5,0.5,1.7651305616344621,0.9917652135909069,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,2,0.019139766693115234
6,3,1.0,0.5,0.5,2.2723548237634383,0.9886297282946935,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,3,0.018463134765625
6,4,1.0,0.5,0.5,1.4643843093547366,0.9940814064251,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.017289161682128906
7,0,1.0,0.5,1.0,1.1222419199872975,0.994858237558585,0.5194805194805194,1.0,0.6491228070175439,0.3508771929824561,1.0,0.886,57,0,0.04822063446044922
7,1,1.0,0.5,1.0,1.2910317652741137,0.993086945725553,0.5128205128205129,1.0,0.6551724137931034,0.3448275862068966,1.0,0.884,58,1,0.047780752182006836
7,2,1.0,0.5,1.0,1.846967166020651,0.9913834248596859,0.39215686274509803,1.0,0.7560975609756098,0.24390243902439024,1.0,0.836,82,2,0.06746935844421387
7,3,1.0,0.5,1.0,2.292096658089481,0.9885309452974693,0.396039603960396,1.0,0.7530864197530864,0.24691358024691357,1.0,0.838,81,3,0.07351136207580566
7,4,1.0,0.5,1.0,1.4204973957278044,0.994258783909518,0.5194805194805194,1.0,0.6491228070175439,0.3508771929824561,1.0,0.886,57,4,0.0392155647277832
8,0,1.0,0.5,2.0,7.939838906273083,0.9636221346288489,0.14285714285714288,1.0,0.9230769230769231,0.07692307692307693,1.0,0.48,260,0,0.1421363353729248
8,1,1.0,0.5,2.0,5.09929496903504,0.972694937622337,0.15625,1.0,0.9152542372881356,0.0847457627118644,1.0,0.528,236,1,0.14536523818969727
8,2,1.0,0.5,2.0,17.923360288403682,0.9163829311461487,0.11038961038961038,0.85,0.9409722222222222,0.059027777777777776,0.85,0.42400000000000004,288,2,0.14301729202270508
8,3,1.0,0.5,2.0,5.865566611197522,0.9706502323592082,0.1413427561837456,1.0,0.9239543726235742,0.07604562737642585,1.0,0.474,263,3,0.14479303359985352
8,4,1.0,0.5,2.0,7.410389051956778,0.9700494735225983,0.14705882352941177,1.0,0.9206349206349206,0.07936507936507936,1.0,0.496,252,4,0.14135384559631348
9,0,1.0,1.0,0.5,1.2796103284949703,0.9941372245952312,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.017099618911743164
9,1,1.0,1.0,0.5,1.2932002544090764,0.9930753341730825,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,0.015613079071044922
9,2,1.0,1.0,0.5,2.091157484626929,0.9902442144462482,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.015144824981689453
9,3,1.0,1.0,0.5,2.481492621290114,0.9875832572256247,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,0.015981435775756836
9,4,1.0,1.0,0.5,1.7780144693473394,0.992813809225397,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,4,0.015265464782714844
10,0,1.0,1.0,1.0,1.0190373531406227,0.9953310886935709,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,0.024698734283447266
10,1,1.0,1.0,1.0,1.1469366415483944,0.9938585281434245,0.7142857142857143,1.0,0.4444444444444444,0.5555555555555556,1.0,0.928,36,1,0.025034666061401367
